species,high_income_mean,upper_middle_mean,log2_fold_change,p_value,high_prevalence,upper_prevalence,p_adjusted,significant
s__Alkalihalobacillus_gibsonii,1.7305533279871692e-05,0.002929529411764706,7.4032834371026635,3.030162178273205e-27,0.0016038492381716118,0.10588235294117647,4.85190296681421e-27,True
s__Exiguobacterium_alkaliphilum,0.040690745789895746,0.004773294117647059,-3.0916435567805967,3.123635500296379e-27,0.0032076984763432237,0.11764705882352941,4.9915695294736135e-27,True
s__Pedobacter_quisquiliarum,0.23906613472333602,0.02972882352941177,-3.0074754959733476,3.958793433620961e-27,0.0673616680032077,0.3411764705882353,6.313524857211871e-27,True
s__Nocardioides_euryhalodurans,5.5589414595028074e-05,0.0014279411764705884,4.682980055491919,1.0516705854924818e-26,0.0056134723336006415,0.12941176470588237,1.6738740992201055e-26,True
s__Brevundimonas_lutea,0.0005439695268644747,0.0011104117647058823,1.029496883858383,6.808914664074018e-26,0.00400962309542903,0.11764705882352941,1.081575112643169e-25,True
s__Brevundimonas_SGB38301,2.035284683239775e-05,0.0015750588235294118,6.27402429873217,7.097594593157643e-26,0.0032076984763432237,0.11176470588235295,1.125194063478761e-25,True
s__Nocardioides_glacieisoli,1.2285485164394547e-05,0.000994294117647059,6.338634336866852,7.669294574979312e-26,0.0032076984763432237,0.11176470588235295,1.2134190822591031e-25,True
s__Pseudonocardia_ammonioxydans,0.012431940657578185,0.0013449411764705882,-3.208436446378288,9.45981998653224e-26,0.007217321571772253,0.13529411764705881,1.4937541836441224e-25,True
s__Tessaracoccus_sp_MC1627,0.0013900882117080994,0.02249317647058823,4.016238973533773,1.1997619929839573e-25,0.08259823576583801,0.3352941176470588,1.8907491763198855e-25,True
s__Desemzia_incerta,0.1477896471531676,0.026613823529411766,-2.4732975079163553,1.2022264858531275e-25,0.09703287890938252,0.4117647058823529,1.8909034688910412e-25,True
s__Paracoccus_sediminis,0.013083151563753009,0.10196394117647058,2.96227701934169,3.6613264164987934e-25,0.0056134723336006415,0.12352941176470589,5.747347361065886e-25,True
s__Limosilactobacillus_vaginalis,0.0015076182838813152,0.0067427647058823535,2.16106898352488,4.39156327264598e-25,0.0056134723336006415,0.12352941176470589,6.880115793812035e-25,True
s__Kosakonia_cowanii,0.010065268644747391,0.01016064705882353,0.013606601118548244,4.468217599189387e-25,0.0056134723336006415,0.12352941176470589,6.986508535718826e-25,True
s__Microbacterium_foliorum,0.006102437850842021,0.005683764705882353,-0.10253886374694351,6.302938020977454e-25,0.010425020048115477,0.14705882352941177,9.83603023195505e-25,True
