sample_alias,Richness,Shannon,Simpson,income_group,study_code
Brinch_2020_sewage_copenhagen.sample_DTU2017-1145-PRJ1066-CPH-Sewage-171,197,3.61901772334497,0.9350991358541523,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1146-PRJ1066-CPH-Sewage-172,271,3.581582536287824,0.9165555330148096,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1147-PRJ1066-CPH-Sewage-173,356,3.9344246356990373,0.9447716389500007,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1148-PRJ1066-CPH-Sewage-174,356,4.169925380508351,0.9598326200658839,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1149-PRJ1066-CPH-Sewage-175,223,3.415813217438337,0.9112757226113104,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1150-PRJ1066-CPH-Sewage-176,338,3.975628188521305,0.9484018267960028,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1274-PRJ1066-CPH-Sewage-129,373,4.273832804487176,0.9640896180253801,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1276-PRJ1066-CPH-Sewage-136,287,3.375784406693671,0.9078016519853581,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1277-PRJ1066-CPH-Sewage-137,290,2.8778731491578853,0.8174972125358517,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1279-PRJ1066-CPH-Sewage-144,341,3.8661865090349177,0.9472548789921428,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1281-PRJ1066-CPH-Sewage-140rerun,333,4.090609968663905,0.9616956948228317,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1282-PRJ1066-CPH-Sewage-155rerun,386,4.021033546033269,0.9528700091681608,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1283-PRJ1066-CPH-Sewage-12,368,4.1388308405488585,0.9574229189212223,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1284-PRJ1066-CPH-Sewage-14,274,3.74981745857447,0.9243783723519642,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1285-PRJ1066-CPH-Sewage-15,341,3.908973383737177,0.9405611352916291,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1286-PRJ1066-CPH-Sewage-16,334,3.8220363028041673,0.9338012408596612,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1287-PRJ1066-CPH-Sewage-17,353,4.059136266162971,0.9468354181116106,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1288-PRJ1066-CPH-Sewage-18,358,4.080454085769466,0.9407774897860145,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1289-PRJ1066-CPH-Sewage-19,371,4.12160702611153,0.949550560207951,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1290-PRJ1066-CPH-Sewage-20,306,3.6946845499786978,0.9202040420577502,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1291-PRJ1066-CPH-Sewage-21,208,3.335218150731233,0.9188398411376789,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1292-PRJ1066-CPH-Sewage-22,381,4.191460197786201,0.9488793707470696,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1293-PRJ1066-CPH-Sewage-23,326,3.400704651766797,0.8753617783975416,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1294-PRJ1066-CPH-Sewage-24,360,3.734734623270946,0.900428542059705,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1295-PRJ1066-CPH-Sewage-33,388,4.171905062666853,0.9551851483727573,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1296-PRJ1066-CPH-Sewage-34,376,4.176370782965456,0.9552083198142256,High-income,Brinch_2020_sewage_copenhagen
