species,control_mean,case_mean,log2_fold_change,p_value,control_prevalence,case_prevalence,p_adjusted,significant
s__Granulicatella_sp_s8,0.003970344827586207,0.0,-25.242761012562546,6.207024666138287e-06,0.1090617481956696,0.0,1.312297989863943e-05,True
s__GGB4596_SGB6358,0.008087064955894145,0.0,-26.26911288138427,6.20702520096646e-06,0.1090617481956696,0.0,1.312297989863943e-05,True
s__Phascolarctobacterium_succinatutens,0.012376014434643144,9.711764705882353e-05,-6.993596126605509,6.222304194363794e-06,0.12830793905372895,0.011764705882352941,1.312297989863943e-05,True
s__GGB4266_SGB5809,0.012196311146752204,6.711764705882353e-05,-7.505534868150452,6.4896825736308855e-06,0.11868484362469928,0.0058823529411764705,1.363562518279748e-05,True
s__Brotolimicola_acetigignens,0.01723048115477145,0.00046676470588235294,-5.2061234012134765,6.638872723022383e-06,0.12830793905372895,0.011764705882352941,1.3881645032994904e-05,True
s__Flavobacterium_sp_9R,0.02404073777064956,0.0007811176470588236,-4.943797327298803,6.656261165553706e-06,0.15477145148356056,0.029411764705882353,1.3881645032994904e-05,True
s__Pseudoxanthomonas_kaohsiungensis,0.004340665597433842,6.847058823529412e-05,-5.9862859916277,6.782839872776625e-06,0.11868484362469928,0.0058823529411764705,1.4093233957880323e-05,True
s__Thiothrix_unzii,0.021274041700080196,6.841176470588235e-05,-8.280631883719403,6.9050381359502625e-06,0.12750601443464316,0.011764705882352941,1.4294193336782648e-05,True
s__Faecalibacterium_prausnitzii,0.2872804811547715,0.0406425294117647,-2.821397874390132,7.122915596628502e-06,0.17000801924619086,0.041176470588235294,1.4691013418046285e-05,True
s__GGB4559_SGB6293,0.004702221331194867,0.0,-25.48683914241235,8.036546645059409e-06,0.10665597433841219,0.0,1.6514661787100104e-05,True
s__GGB3304_SGB4367,0.025541700080192464,0.0003001764705882353,-6.410899374858106,8.097521992452772e-06,0.12590216519647154,0.011764705882352941,1.6579232984547465e-05,True
s__GGB1495_SGB2071,0.008371996792301524,0.0005067647058823529,-4.046183536175831,8.24285132796175e-06,0.11788291900561347,0.0058823529411764705,1.6815416709041968e-05,True
s__Flavobacterium_cheniae,0.013254779470729752,0.0002471176470588235,-5.745170244641722,8.616627423418413e-06,0.14274258219727345,0.023529411764705882,1.7514231828035252e-05,True
s__Mediterraneibacter_faecis,0.012882951082598236,0.00022329411764705886,-5.850373416662787,8.783600662844178e-06,0.14274258219727345,0.023529411764705882,1.778916957348586e-05,True
s__Roseburia_inulinivorans,0.007017008821170809,0.00026023529411764706,-4.752967097899667,9.29660570364471e-06,0.11627906976744186,0.0058823529411764705,1.876041654584418e-05,True
s__Blautia_sp_MCC283,0.0031121491579791495,0.0,-24.891407917524898,9.542436607528417e-06,0.10505212510024058,0.0,1.905091436591972e-05,True
s__GGB9347_SGB14313,0.007267514033680834,0.0,-26.11495863629323,9.542436607528417e-06,0.10505212510024058,0.0,1.905091436591972e-05,True
s__Epilithonimonas_xixisoli,0.004066816359262229,0.0,-25.277396545769555,9.542436607528417e-06,0.10505212510024058,0.0,1.905091436591972e-05,True
s__Coprococcus_eutactus,0.010089895749799519,0.0,-26.588336041793593,1.039667845016222e-05,0.10425020048115477,0.0,2.0682753938088673e-05,True
s__Alistipes_communis,0.007133135525260626,0.0036951176470588236,-0.9489160669664526,1.0639152106147328e-05,0.11627906976744186,0.0058823529411764705,2.1090333327027038e-05,True
s__Veillonella_parvula,0.0294507056936648,0.0003148823529411765,-6.547345034339438,1.0710903424065245e-05,0.11547714514835605,0.0058823529411764705,2.1157805707396486e-05,True
s__Laribacter_hongkongensis,0.006451058540497194,0.0,-25.94303259530113,1.1326361160370835e-05,0.10344827586206896,0.0,2.229504775778259e-05,True
s__Dorea_formicigenerans,0.006157177225340817,0.00012823529411764705,-5.585402699659549,1.1873919438309062e-05,0.1226944667201283,0.011764705882352941,2.329114966745239e-05,True
s__GGB9712_SGB15244,0.004782502004811548,0.0,-25.511262267722916,1.2338061381804791e-05,0.10264635124298316,0.0,2.3950356492400476e-05,True
s__Ruminococcus_torques,0.006428660785886126,0.0,-25.93801491428548,1.2338061381804791e-05,0.10264635124298316,0.0,2.3950356492400476e-05,True
